Deporte,dia,fecha,tituo,tiempo,distancia,elevation
Ride,Sat, 5/9/2020,Night Ride,29:54,0 km,0 m
Run,Fri, 5/1/2020,Afternoon Run Sarmiento,13:43,1.70 km,82 m 
Run,Sun, 4/26/2020,Afternoon Run kdt,30:20,3.30 km,155 m 
Ride,Sat, 4/25/2020,Evening Ride kdt,48:20,0 km,0 m 
Ride,Tue, 4/21/2020,Afternoon Ride Sarmiento,39:28,0 km,0 m 
Run,Mon, 4/20/2020,Afternoon Run,31:10,3.91 km,180 m 
Ride,Fri, 4/17/2020,Evening Ride,1:04:47,0 km,0 m 
Ride,Mon, 4/13/2020,Evening Ride,1:12:46,0 km,0 m 
Ride,Fri, 3/13/2020,Compu bici kite bici,1:51:57,46.42 km,478 m 
Run,Mon, 12/23/2019,Quinta a la noche,27:42,5.44 km,30 m 
Ride,Sun, 12/22/2019,Capo Beni papa,59:08,26.50 km,107 m 
Ride,Wed, 12/18/2019,A casa,1:20:49,31.24 km,343 m 
Ride,Wed, 12/18/2019,A kitear,43:35,16.50 km,167 m 
Ride,Sun, 12/8/2019,Arsha a casa,13:02,5.19 km,92 m 
Ride,Fri, 12/6/2019,Vcontra protos,59:54,25.65 km,270 m 
Ride,Mon, 12/2/2019,Pp,1:23:41,35.16 km,382 m 
Ride,Fri, 10/25/2019,Con Torres y salpa,54:38,28.13 km,63 m 
Ride,Thu, 10/10/2019,2cool4school,42:55,20.52 km,214 m 
Ride,Wed, 5/29/2019,Matina,46:04,20.29 km,209 m 
Ride,Wed, 5/22/2019,Rum,1:03:30,30.33 km,285 m
Ride,Wed, 4/24/2019,Sarmiento de miércoles,1:12:20,30.79 km,304 m
Ride,Mon, 3/25/2019,Viento en contra,1:14:11,30.40 km,306 m
Ride,Sun, 2/24/2019,Cc capote y coto,1:09:19,31.47 km,324 m
Ride,Thu, 1/17/2019,Con uno al hombro,19:41,4.93 km,186 m
Ride,Wed, 1/16/2019,Capote y carly,42:26,7.02 km,188 m
Ride,Tue, 12/25/2018,Primera Benito Sarmiento,51:17,22.53 km,234 m
Ride,Sun, 12/9/2018,Morning Ride,1:09:38,28.40 km,306 m
Ride,Fri, 12/7/2018,Chau físicas,46:29,24.81 km,57 m
Ride,Sun, 12/2/2018,Finales con Cores y capote,1:01:19,27.68 km,292 m
Ride,Thu, 10/18/2018,Cranky,1:01:37,30.74 km,325 m
Ride,Thu, 10/11/2018,Ingenieros rodando,38:53,18.09 km,53 m
Ride,Sun, 8/26/2018,Papa y capote Sarmiento,50:15,21.62 km,186 m
Ride,Sun, 8/19/2018,Capote YOG,1:02:48,30.20 km,71 m
Ride,Sun, 8/19/2018,Fresca,1:20:29,34.53 km,85 m
Workout,Mon, 8/13/2018,Evening Activity,19:59,0.80 km,0 m
Run,Sun, 8/12/2018,Por ombu,28:57,4.84 km,8 m
Ride,Sat, 8/11/2018,Kdt freno de mano,56:14,28.40 km,79 m
Ride,Sun, 8/5/2018,De vuelta Ciudad,1:15:27,32.62 km,15 m
Alpine Ski,Thu, 8/2/2018,Morning Activity,21:47,13.88 km,3,105 m
Ride,Mon, 7/30/2018,Pre Greff,27:43,6.38 km,212 m,
Alpine Ski,Sun, 7/29/2018,Chapelco,15:02,6.84 km,2,550 m
Alpine Ski,Fri, 7/27/2018,Afternoon Activity,18:42,9.65 km,2,208 m
Alpine Ski,Fri, 7/27/2018,Morning Activity,19:16,12.40 km,2,173 m
Alpine Ski,Fri, 7/27/2018,Chapelco,6:15,4.32 km,971 m
Alpine Ski,Thu, 7/26/2018,Chapelco,17:11,11.89 km,2,301 m
Alpine Ski,Mon, 7/23/2018,Chapelco,2:59,1.84 km,333 m
Ride,Mon, 6/18/2018,Kdt y birk,1:08:39,40.01 km,71 m
Ride,Sat, 6/16/2018,Terminaron los segundos,36:29,14.37 km,121 m
Ride,Sat, 5/26/2018,Pre parciales con capote,1:35:59,42.48 km,83 m
Ride,Wed, 5/16/2018,Sarmiento con papá y capote,1:14:22,29.13 km,62 m
Ride,Sat, 5/12/2018,Kdt cc birk y Balestra,1:18:03,43.95 km,35 m
Ride,Wed, 5/9/2018,Nocturna KDT,1:08:01,39.73 km,70 m
Ride,Tue, 5/1/2018,Con birki,1:29:28,43.72 km,338 m
Ride,Wed, 4/25/2018,Kdt con birk,1:03:45,34.66 km,192 m
Ride,Wed, 4/25/2018,Miércoles por la noche KDT,45:31,27.19 km,49 m
Ride,Sat, 4/21/2018,Terminaron los parciales,1:28:49,50.37 km,90 m
Ride,Sat, 4/21/2018,Lunch Ride,1:29:30,51.73 km,127 m
Ride,Mon, 4/2/2018,Evening Ride,27:58,15.65 km,60 m
Ride,Mon, 4/2/2018,Despejando el cerebro,30:45,16.75 km,30 m
Ride,Wed, 3/28/2018,Parque Sarmiento con capote,53:28,21.82 km,151 m,
Ride,Sat, 3/24/2018,KDT1,56:58,33.57 km,60 m
Ride,Wed, 3/21/2018,Evening Ride,1:06:30,34.01 km,91 m,
